RowHeader|Beta
ai003226.05|0.06697194031806058545
ai003230.03|-0.26404459051761636212
ai003231.01|-1.47535365554547071021
ai003231.03|-3.11494921788816370167
ai003238.01|-0.89115607665386309399
ai003240.01|1.57256165182744322983
ai003243.01|-2.07300966041212753055
ai003243.22|0.10449443328277002729
ai003243.23|-0.09654429389121430005
ai003243.26|-0.08837044139499679318
ai003243.30|-1.69776312363003101247
ai003243.31|-1.63592810667729704477
ai003246.01|-1.71964493148205521678
ai003270.01|1.28785740846934149140
ai003275.01|-1.39838197190549795579
ai003278.01|-1.78674226754130671679
ai003288.01|0.79967350089397504220
ai003310.01|-1.08363516354508293560
ai003336.01|-1.12152495506316829399
ai003342.01|-1.30893241868847720610
ai003358.02|-0.90813653098671232033
ai003362.01|-0.40598833592754407507
ai003369.01|-1.02740461655118919815
ai003370.01|-0.20956559048476483542
ai003382.01|-1.63751452262796837189
ai003394.01|-0.38686659881122503757
ai003399.01|-0.34970977251177359779
ai003410.02|0.68967756905872135142
ai003413.01|-0.17378173981694272632
ai003416.01|-1.54938054480211473418
ai003424.01|-0.95495464211803116061
ai003429.01|-0.85012840419223911770
ai003439.01|-0.47686475332978961461
ai003451.01|-0.04856515481959788882
ai003465.01|-0.65468142578750909699
ai003469.02|-1.69014455880353309247
ai003502.01|-1.61215609949072735674
ai003504.01|-0.77835589205854882611
ai003505.01|-0.78513283889964990969
ai003532.01|-1.01766689020138501043
ai003556.01|-1.09437642580734340036
ai003562.01|-1.25000423759947199009
ai003562.02|-0.06025078168112227295
ai003562.03|-0.16122178313552665285
ai003570.01|-0.72268563287194931277
ai003580.01|-1.31175368297708416776
ai003581.01|-2.09490777998686716899
ai003581.02|-1.37523694602082935390
ai003607.02|-2.11683738502878160403
ai003612.01|-1.32992470025894982122
ai003619.01|-0.80960677883361098495
ai003622.01|-0.28422072175397850025
ai003639.01|-1.37159652629429684723
ai003640.01|-0.40763765770749327277
