AIID|DataDate|PeriodName|PeriodEndDate|DataDate_PeriodData|LastReportDate|LastYearDate|LastQuarterDate|SecurityId|SmartEst_BPS|SmartEst_CPS|SmartEst_CPX|SmartEst_CSH|SmartEst_DPS|SmartEst_EBG|SmartEst_EBI|SmartEst_EBT|SmartEst_EPS|SmartEst_FFO|SmartEst_GM|SmartEst_GPS|SmartEst_NAV|SmartEst_NDT|SmartEst_NET|SmartEst_OPR|SmartEst_PRE|SmartEst_REV|SmartEst_ROA|SmartEst_ROE|StndDeviation_BPS|StndDeviation_CPS|StndDeviation_CPX|StndDeviation_CSH|StndDeviation_DPS|StndDeviation_EBG|StndDeviation_EBI|StndDeviation_EBT|StndDeviation_EPS|StndDeviation_FFO|StndDeviation_GM|StndDeviation_GPS|StndDeviation_NAV|StndDeviation_NDT|StndDeviation_NET|StndDeviation_OPR|StndDeviation_PRE|StndDeviation_REV|StndDeviation_ROA|StndDeviation_ROE|SmartEstAnalyst_BPS|SmartEstAnalyst_CPS|SmartEstAnalyst_CPX|SmartEstAnalyst_CSH|SmartEstAnalyst_DPS|SmartEstAnalyst_EBG|SmartEstAnalyst_EBI|SmartEstAnalyst_EBT|SmartEstAnalyst_EPS|SmartEstAnalyst_FFO|SmartEstAnalyst_GM|SmartEstAnalyst_GPS|SmartEstAnalyst_NAV|SmartEstAnalyst_NDT|SmartEstAnalyst_NET|SmartEstAnalyst_OPR|SmartEstAnalyst_PRE|SmartEstAnalyst_REV|SmartEstAnalyst_ROA|SmartEstAnalyst_ROE|ExpFY1ReportDate|ExpFQ1ReportDate
ai001075.01|20170131|FY4|20191231|2016-11-03|20161103|20151231|20160930|1974|46.51|NA|1143770000|NA|2.92|NA|1060070000|1731800000|4.68|NA|NA|4.68|5.485e+09|4.144e+09|523290000|NA|8.48e+08|3894410000|NA|9.95|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170219|20170219
ai001075.01|20170131|FY5|20201231|2016-11-03|20161103|20151231|20160930|1974|48.14|NA|1097020000|NA|NA|NA|1113800000|1.84e+09|4.95|NA|NA|4.95|5.732e+09|NA|554380000|NA|9.11e+08|4002260000|NA|10|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170219|20170219
ai001076.01|20170131|FQ1|20161231|2017-01-12|20161028|20151231|20160930|17267|20.37|NA|17160000|NA|0.02|NA|52090000|69890000|0.44|NA|48.4|0.36|1477830000|NA|30980000|NA|43560000|814520000|5.07|9|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|9|NA|NA|NA|NA|NA|NA|NA|NA|7|NA|NA|20170216|20170216
ai001076.01|20170131|FQ2|20170331|2017-01-12|20161028|20151231|20160930|17267|21.03|NA|17670000|NA|0.02|NA|86460000|104800000|0.74|NA|49.81|0.68|1.52e+09|NA|52060000|NA|79070000|842370000|6.78|11.34|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|7|NA|NA|NA|NA|NA|NA|NA|NA|6|NA|NA|20170216|20170216
ai001076.01|20170131|FQ3|20170630|2017-01-12|20161028|20151231|20160930|17267|21.6|NA|17670000|NA|0.02|NA|78650000|92020000|0.65|NA|50.16|0.61|1557750000|NA|45730000|NA|71990000|795430000|6.39|10.38|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170216|20170216
ai001076.01|20170131|FQ4|20170930|2017-01-12|20161028|20151231|20160930|17267|22.07|NA|17670000|NA|0.02|NA|66580000|80930000|0.55|NA|49.89|0.54|1589660000|NA|38870000|NA|59920000|781420000|5.83|9.6|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170216|20170216
ai001076.01|20170131|FY1|20161231|2017-01-12|20161028|20151231|20160930|17267|20.37|NA|67490000|NA|0.1|NA|267690000|338140000|2.26|NA|49.78|1.95|1477830000|NA|160710000|NA|225640000|3227620000|5.8|11.24|NA|NA|NA|NA|NA|NA|NA|NA|0.01|NA|NA|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|7|NA|NA|NA|NA|NA|NA|NA|NA|9|NA|NA|20170216|20170216
ai001076.01|20170131|FY2|20171231|2017-01-12|20161028|20151231|20160930|17267|22.54|NA|70690000|NA|0.1|NA|295940000|361820000|2.48|NA|49.36|2.34|1623110000|NA|177790000|NA|270340000|3260340000|6.54|10.91|NA|NA|NA|NA|NA|NA|NA|NA|0.03|NA|NA|NA|NA|NA|NA|NA|NA|0.02|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|7|NA|NA|NA|NA|NA|NA|NA|NA|9|NA|NA|20170216|20170216
ai001076.01|20170131|FY3|20181231|2017-01-12|20161028|20151231|20160930|17267|25.07|NA|72810000|NA|0.1|NA|333900000|393350000|2.82|NA|48.84|2.71|1815330000|NA|202130000|NA|303660000|3376460000|7.33|11.34|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170216|20170216
ai001076.01|20170131|FY4|20191231|2017-01-12|20161028|20151231|20160930|17267|28.06|NA|NA|NA|NA|NA|NA|453370000|3.22|NA|NA|3.27|2054190000|NA|239210000|NA|376710000|3479870000|8.3|11.6|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170216|20170216
ai001076.01|20170131|FY5|20201231|2017-01-12|20161028|20151231|20160930|17267|31.74|NA|NA|NA|NA|NA|NA|506360000|3.63|NA|NA|3.77|2323140000|NA|276210000|NA|434970000|3591190000|9.3|11.9|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170216|20170216
ai001078.01|20170131|FQ1|20170331|2017-01-25|20170125|20161231|20161231|853|NA|0.73|NA|NA|NA|NA|1080920000|1386130000|0.43|NA|59.29|0.42|NA|NA|746620000|NA|877450000|6165310000|NA|14.44|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|14|NA|NA|NA|NA|NA|NA|NA|NA|13|NA|NA|20180125|20170421
ai001078.01|20170131|FQ2|20170630|2017-01-25|20170125|20161231|20161231|853|NA|0.7|NA|NA|NA|NA|1385510000|1678670000|0.6|NA|59.79|0.49|NA|NA|1030980000|NA|1213700000|6582500000|NA|20.12|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|13|NA|NA|NA|NA|NA|NA|NA|NA|13|NA|NA|20180125|20170421
